,id,name,city,state,zip,rating,review_count,latitude,longitude,categories,url
400,S4hF4K46P1BPj7WyUkB-1g,Removery Tattoo Removal & Fading,Chicago,IL,60647,4.8,44,41.9157245,-87.67782539,Tattoo Removal,https://www.yelp.com/biz/removery-tattoo-removal-and-fading-chicago-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
401,1jgyjRr0iBolRw_jZDOW6w,Hindsight Tattoo Removal,Chicago,IL,60642,4.7,86,41.90105,-87.66336,Tattoo Removal,https://www.yelp.com/biz/hindsight-tattoo-removal-chicago?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
402,7xMPPabSJRMZ21LVuFxm4w,Insight Studios,Chicago,IL,60642,4.7,1143,41.90105,-87.66336,"Tattoo, Piercing, Tattoo Removal",https://www.yelp.com/biz/insight-studios-chicago?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
403,XXup9-so9QRaacHHUNX9YA,LaserAway,Evanston,IL,60201,4.6,9,42.046662,-87.682972,"Tattoo Removal, Medical Spas, Laser Hair Removal",https://www.yelp.com/biz/laseraway-evanston?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
404,Mm4L-2ROb9_kHCgiC73YUw,LaserAway,Chicago,IL,60607,2.0,4,41.88163220194874,-87.6490219,"Tattoo Removal, Medical Spas, Laser Hair Removal",https://www.yelp.com/biz/laseraway-chicago-5?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
405,olsb9753oa4xmwyR3fxibA,Removery Tattoo Removal & Fading,Chicago,IL,60618,4.4,36,41.96089569,-87.6831876,Tattoo Removal,https://www.yelp.com/biz/removery-tattoo-removal-and-fading-chicago?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
406,0eAvkK1TIs1a9QKGX-FuZA,LaserAway,Chicago,IL,60622,4.0,131,41.9121125,-87.67728376,"Medical Spas, Laser Hair Removal, Tattoo Removal",https://www.yelp.com/biz/laseraway-chicago-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
407,Zc2Y-vO-jmXJyM5p97scLg,LaserAway,Chicago,IL,60654,3.6,56,41.894355,-87.634515,"Medical Spas, Laser Hair Removal, Tattoo Removal",https://www.yelp.com/biz/laseraway-chicago-3?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
408,HQgEZK9lKKWQ-nvCy8Ak2A,LaserAway,Chicago,IL,60614,4.4,21,41.91919,-87.64889,"Tattoo Removal, Medical Spas, Laser Hair Removal",https://www.yelp.com/biz/laseraway-chicago-4?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
409,eW-wohEFcafZspqW0CT2kw,Chicago Aesthetics Med Spa,Chicago,IL,60654,5.0,1,41.89585,-87.63628,"Medical Spas, Laser Hair Removal, Tattoo Removal",https://www.yelp.com/biz/chicago-aesthetics-med-spa-chicago?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
410,unG5l5eFfQxIo3S4w69KRA,OM SPA - Cosmetic Tattoo Make up & Skin Care Clinic,Chicago,IL,60630,4.5,24,41.968019,-87.775289,"Skin Care, Permanent Makeup, Tattoo Removal",https://www.yelp.com/biz/om-spa-cosmetic-tattoo-make-up-and-skin-care-clinic-chicago?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
